Address,Municipality,Sale price,merged
 Weller Trl,Lenox,5000," Weller Trl, Lenox, New York"
 Ontario Ave,Cicero,2000," Ontario Ave, Cicero, New York"
3792 Harke Ln,Clay,45000,"3792 Harke Ln, Clay, New York"
 Co Rt 54,Schroeppel,0," Co Rt 54, Schroeppel, New York"
 Co Rt 54,Schroeppel,0," Co Rt 54, Schroeppel, New York"
 State Rt 104,Sterling,25000," State Rt 104, Sterling, New York"
661 State Fair Blvd,Geddes,1,"661 State Fair Blvd, Geddes, New York"
 Otisco Rd.,Otisco,5577," Otisco Rd., Otisco, New York"
62 & 64 Vitale Drive,Auburn,1,"62 & 64 Vitale Drive, Auburn, New York"
59 Vitale Dr,Auburn,1,"59 Vitale Dr, Auburn, New York"
61 Vitale Dr,Auburn,1,"61 Vitale Dr, Auburn, New York"
2685 Widewater Ln,Spafford,1,"2685 Widewater Ln, Spafford, New York"
114-16 Lafayette Ave,Syracuse,37000,"114-16 Lafayette Ave, Syracuse, New York"
310 Wilkinson St,Syracuse,5000,"310 Wilkinson St, Syracuse, New York"
1410-12 Colvin St W,Syracuse,976,"1410-12 Colvin St W, Syracuse, New York"
1820-24 Co Rt 7,Oswego (town),50000,"1820-24 Co Rt 7, Oswego (town), New York"
2446 Rockefeller Rd,Moravia (town),1,"2446 Rockefeller Rd, Moravia (town), New York"
5737 State Route 90,Springport,15000,"5737 State Route 90, Springport, New York"
0 River Road (Part Of),Eaton,8750,"0 River Road (Part Of), Eaton, New York"
164 Shaker Heights,Camillus (town),364900,"164 Shaker Heights, Camillus (town), New York"
3860 Hallston Dr,Clay,45000,"3860 Hallston Dr, Clay, New York"
 Rt 41,Spafford,1," Rt 41, Spafford, New York"
366 Little John Dr,Redfield,26000,"366 Little John Dr, Redfield, New York"
 Robinson Rd,Throop,85000," Robinson Rd, Throop, New York"
Vac Rosewood Cir,Weedsport,3000,"Vac Rosewood Cir, Weedsport, New York"
 W Hill Road,Madison (town),36000," W Hill Road, Madison (town), New York"
 Maplehurst Rd,Cicero,23000," Maplehurst Rd, Cicero, New York"
200 Lyncourt Dr,Salina,245000,"200 Lyncourt Dr, Salina, New York"
188 White Rd,Parish (town),240191,"188 White Rd, Parish (town), New York"
998 Carpenter Rd,Ledyard,30000,"998 Carpenter Rd, Ledyard, New York"
 Terry Rd,Geddes,1," Terry Rd, Geddes, New York"
115 Bridge St,Phoenix,65000,"115 Bridge St, Phoenix, New York"
 St Rt 13,Williamstown,0," St Rt 13, Williamstown, New York"
845 Poplar Ridge Rd,Ledyard,332500,"845 Poplar Ridge Rd, Ledyard, New York"
5737 State Route 90,Springport,7500,"5737 State Route 90, Springport, New York"
 Smith Ridge Rd.,Sullivan,36000," Smith Ridge Rd., Sullivan, New York"
4536 Hollyshire Way,Clay,585475,"4536 Hollyshire Way, Clay, New York"
406 Fayette St,Manlius (village),572779,"406 Fayette St, Manlius (village), New York"
418 Swansea Ave,Salina,270000,"418 Swansea Ave, Salina, New York"
721 Salina St,Syracuse,37500,"721 Salina St, Syracuse, New York"
196 Co Rt 33,Hastings,0,"196 Co Rt 33, Hastings, New York"
 Water Street,Cayuga,292," Water Street, Cayuga, New York"
1310 Off Turnpike Rd,Throop,1,"1310 Off Turnpike Rd, Throop, New York"
3797 Harke Ln,Clay,45000,"3797 Harke Ln, Clay, New York"
1712 North Rd,LaFayette,420000,"1712 North Rd, LaFayette, New York"
24 Baker Road,Marcellus (town),1,"24 Baker Road, Marcellus (town), New York"
 Teall Ave,Salina,1," Teall Ave, Salina, New York"
105 Schuyler St,Oswego (city),1000,"105 Schuyler St, Oswego (city), New York"
 Howlett Road,Eaton,1," Howlett Road, Eaton, New York"
8178 Warners Rd,Lenox,189900,"8178 Warners Rd, Lenox, New York"
 Seneca Beach Drive,Van Buren,15000," Seneca Beach Drive, Van Buren, New York"
515-517 Buffalo St,Fulton,500,"515-517 Buffalo St, Fulton, New York"
 St Rt 104,Mexico (town),40000," St Rt 104, Mexico (town), New York"
1670 St Rt 104,Albion,47500,"1670 St Rt 104, Albion, New York"
3670 Lysander Rd,Ira,75000,"3670 Lysander Rd, Ira, New York"
512 St Rt 13,Williamstown,82000,"512 St Rt 13, Williamstown, New York"
 Walker Rd,Sennett,40000," Walker Rd, Sennett, New York"
5520 Vista Way,Camillus (town),419200,"5520 Vista Way, Camillus (town), New York"
 Hamilton Rd,Elbridge (town),22000," Hamilton Rd, Elbridge (town), New York"
3311 Apulia Rd,LaFayette,20000,"3311 Apulia Rd, LaFayette, New York"
 Broad Rd Off,Onondaga,3200," Broad Rd Off, Onondaga, New York"
 Oran Eagle Village Rd,Pompey,0," Oran Eagle Village Rd, Pompey, New York"
410 Kenwick Dr,Salina,3200,"410 Kenwick Dr, Salina, New York"
 Co Rt 38,Hastings,12000," Co Rt 38, Hastings, New York"
